"KEupID","KEdownID"
"KE 1000","KE 858"
"KE 1002","KE 1003"
"KE 1002","KE 1004"
"KE 1002","KE 1116"
"KE 1003","KE 1004"
"KE 1003","KE 1007"
"KE 1003","KE 1877"
"KE 1003","KE 1640"
"KE 1009","KE 1003"
"KE 1009","KE 1004"
"KE 1009","KE 1116"
"KE 1046","KE 1047"
"KE 1046","KE 1056"
"KE 105","KE 177"
"KE 105","KE 1392"
"KE 110","KE 298"
"KE 1108","KE 1107"
"KE 1115","KE 1392"
"KE 1115","KE 1262"
"KE 1115","KE 233"
"KE 1115","KE 1172"
"KE 1115","KE 1501"
"KE 1116","KE 1101"
"KE 1116","KE 1023"
"KE 112","KE 1457"
"KE 116","KE 89"
"KE 1172","KE 112"
"KE 1172","KE 1496"
"KE 1172","KE 87"
"KE 1172","KE 1493"
"KE 1202","KE 984"
"KE 122","KE 1759"
"KE 122","KE 1335"
"KE 1243","KE 341"
"KE 1252","KE 1461"
"KE 1253","KE 1254"
"KE 1262","KE 1515"
"KE 1262","KE 352"
"KE 1262","KE 1277"
"KE 1262","KE 1549"
"KE 1262","KE 188"
"KE 1262","KE 3"
"KE 1339","KE 1262"
"KE 1339","KE 1340"
"KE 1339","KE 177"
"KE 1387","KE 1389"
"KE 1387","KE 1388"
"KE 1387","KE 1390"
"KE 1388","KE 1389"
"KE 1388","KE 1390"
"KE 1391","KE 1392"
"KE 1391","KE 1393"
"KE 1392","KE 1393"
"KE 1392","KE 1395"
"KE 1392","KE 1488"
"KE 1392","KE 55"
"KE 1392","KE 1906"
"KE 1392","KE 1911"
"KE 1392","KE 1825"
"KE 1392","KE 1493"
"KE 1392","KE 2067"
"KE 1392","KE 1634"
"KE 1392","KE 1635"
"KE 1392","KE 2083"
"KE 1392","KE 1492"
"KE 1392","KE 2089"
"KE 1392","KE 1908"
"KE 1392","KE 1512"
"KE 1392","KE 352"
"KE 1392","KE 386"
"KE 1392","KE 618"
"KE 1392","KE 131"
"KE 1392","KE 177"
"KE 1392","KE 1262"
"KE 1392","KE 188"
"KE 1392","KE 277"
"KE 1392","KE 1032"
"KE 1392","KE 1097"
"KE 1392","KE 1194"
"KE 1392","KE 1365"
"KE 1392","KE 932"
"KE 1393","KE 1394"
"KE 1393","KE 1395"
"KE 1394","KE 1395"
"KE 1438","KE 1439"
"KE 1457","KE 1982"
"KE 1457","KE 68"
"KE 1457","KE 1275"
"KE 1457","KE 1458"
